,date,numTweets,replies_count,replies_average,retweets_count,retweets_average,likes_count,likes_average
232,2021-09-07,7,5788,826.8571429,4413,630.4285714,118747,16963.85714
233,2021-09-06,4,2532,633,3314,828.5,88444,22111
234,2021-09-04,4,3310,827.5,3034,758.5,82154,20538.5
235,2021-09-03,8,34403,4300.375,71431,8928.875,506271,63283.875
236,2021-09-02,16,16659,1041.1875,15069,941.8125,224729,14045.5625
237,2021-09-01,14,12442,888.7142857,21421,1530.071429,669920,47851.42857
238,2021-08-31,15,30279,2018.6,110383,7358.866667,1228951,81930.06667
239,2021-08-30,12,9989,832.4166667,10220,851.6666667,176145,14678.75
240,2021-08-29,6,19623,3270.5,31616,5269.333333,479984,79997.33333
241,2021-08-28,10,6166,616.6,5017,501.7,130079,13007.9
242,2021-08-27,4,4874,1218.5,9239,2309.75,120800,30200
243,2021-08-26,8,15576,1947,12505,1563.125,245320,30665
244,2021-08-25,5,3058,611.6,2478,495.6,59687,11937.4
245,2021-08-24,11,27956,2541.454545,17995,1635.909091,300865,27351.36364
246,2021-08-23,4,3011,752.75,2099,524.75,42681,10670.25
247,2021-08-21,8,36615,4576.875,55508,6938.5,707927,88490.875
248,2021-08-20,5,15385,3077,13159,2631.8,178864,35772.8
249,2021-08-19,2,1082,541,886,443,22686,11343
250,2021-08-18,10,7414,741.4,5445,544.5,182597,18259.7
251,2021-08-17,1,1051,1051,523,523,22077,22077
252,2021-08-16,1,1015,1015,509,509,13484,13484
253,2021-08-15,7,3403,486.1428571,3231,461.5714286,52775,7539.285714
254,2021-08-14,34,31931,939.1470588,29342,863,471845,13877.79412
255,2021-08-13,8,11953,1494.125,9539,1192.375,176752,22094
256,2021-08-12,9,6013,668.1111111,6238,693.1111111,104110,11567.77778
257,2021-08-11,5,3496,699.2,2731,546.2,60023,12004.6
258,2021-08-10,5,9253,1850.6,6439,1287.8,109394,21878.8
259,2021-08-09,2,1699,849.5,723,361.5,24735,12367.5
260,2021-08-07,4,40217,10054.25,33118,8279.5,376609,94152.25
261,2021-08-06,27,32962,1220.814815,48812,1807.851852,702488,26018.07407
262,2021-08-05,15,33883,2258.866667,44583,2972.2,733978,48931.86667
263,2021-08-04,9,12650,1405.555556,18762,2084.666667,304548,33838.66667
264,2021-08-03,11,17018,1547.090909,27393,2490.272727,386174,35106.72727
265,2021-08-02,3,27182,9060.666667,26517,8839,430559,143519.6667
266,2021-08-01,18,34342,1907.888889,17929,996.0555556,340104,18894.66667
267,2021-07-31,20,32987,1649.35,31575,1578.75,664940,33247
268,2021-07-30,16,36002,2250.125,38490,2405.625,596021,37251.3125
269,2021-07-29,21,34595,1647.380952,26787,1275.571429,469699,22366.61905
270,2021-07-28,4,14671,3667.75,12068,3017,223940,55985
271,2021-07-27,13,25450,1957.692308,13583,1044.846154,185041,14233.92308
272,2021-07-26,10,29698,2969.8,25350,2535,441611,44161.1
273,2021-07-25,18,59574,3309.666667,110079,6115.5,1234384,68576.88889
274,2021-07-24,13,27960,2150.769231,61644,4741.846154,663774,51059.53846
275,2021-07-23,13,7814,601.0769231,12208,939.0769231,196233,15094.84615
276,2021-07-22,8,6251,781.375,5342,667.75,107282,13410.25
277,2021-07-21,4,3845,961.25,3371,842.75,89338,22334.5
278,2021-07-20,5,10465,2093,8193,1638.6,196210,39242
279,2021-07-19,5,3723,744.6,2741,548.2,72521,14504.2
280,2021-07-18,7,20949,2992.714286,25140,3591.428571,328020,46860
281,2021-07-17,21,38258,1821.809524,32802,1562,525608,25028.95238
282,2021-07-16,8,4690,586.25,2866,358.25,63583,7947.875
283,2021-07-15,20,27592,1379.6,16360,818,323678,16183.9
284,2021-07-14,16,14662,916.375,12868,804.25,207598,12974.875
285,2021-07-13,12,56260,4688.333333,64424,5368.666667,821490,68457.5
286,2021-07-12,3,2338,779.3333333,2322,774,48505,16168.33333
287,2021-07-11,4,3053,763.25,3586,896.5,73799,18449.75
288,2021-07-10,27,48829,1808.481481,45977,1702.851852,668186,24747.62963
289,2021-07-09,21,36110,1719.52381,29560,1407.619048,488020,23239.04762
290,2021-07-08,14,20795,1485.357143,22019,1572.785714,348005,24857.5
291,2021-07-07,10,34372,3437.2,61221,6122.1,709024,70902.4
292,2021-07-06,6,3207,534.5,2158,359.6666667,52165,8694.166667
293,2021-07-05,12,20936,1744.666667,55458,4621.5,519762,43313.5
294,2021-07-04,9,23849,2649.888889,23288,2587.555556,460136,51126.22222
295,2021-07-03,11,13425,1220.454545,8965,815,141271,12842.81818
296,2021-07-02,16,37445,2340.3125,50632,3164.5,689174,43073.375
297,2021-07-01,27,97421,3608.185185,103907,3848.407407,1066301,39492.62963
298,2021-06-30,6,1754,292.3333333,1680,280,36367,6061.166667
299,2021-06-29,9,42055,4672.777778,22144,2460.444444,473950,52661.11111
300,2021-06-28,3,5940,1980,5424,1808,90426,30142
