"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 12, 2018","74,500.00","74,500.00","78,000.00","71,000.00","-","0.00%"
"Sep 11, 2018","74,500.00","74,500.00","78,000.00","71,000.00","-","0.00%"
"Sep 10, 2018","74,500.00","74,500.00","78,000.00","71,000.00","-","0.00%"
"Sep 07, 2018","74,500.00","74,500.00","78,000.00","71,000.00","-","0.00%"
"Sep 06, 2018","74,500.00","74,500.00","78,000.00","71,000.00","-","0.00%"
"Sep 05, 2018","74,500.00","74,500.00","78,000.00","71,000.00","-","0.00%"
"Sep 04, 2018","74,500.00","74,500.00","78,000.00","71,000.00","-","0.00%"
"Sep 03, 2018","74,500.00","74,500.00","78,000.00","71,000.00","-","0.00%"
"Aug 31, 2018","74,500.00","74,500.00","78,000.00","71,000.00","-","0.00%"
"Aug 30, 2018","74,500.00","74,500.00","78,000.00","71,000.00","-","0.00%"
"Aug 29, 2018","74,500.00","74,500.00","78,000.00","71,000.00","-","0.00%"
"Aug 28, 2018","74,500.00","74,500.00","78,000.00","71,000.00","-","-2.61%"
"Aug 27, 2018","76,500.00","76,500.00","80,000.00","73,000.00","-","-2.55%"
"Aug 24, 2018","78,500.00","78,500.00","82,000.00","75,000.00","-","0.00%"
"Aug 23, 2018","78,500.00","78,500.00","82,000.00","75,000.00","-","-1.26%"
"Aug 22, 2018","79,500.00","79,500.00","83,000.00","76,000.00","-","0.00%"
"Aug 21, 2018","79,500.00","79,500.00","83,000.00","76,000.00","-","0.00%"
"Aug 20, 2018","79,500.00","79,500.00","83,000.00","76,000.00","-","0.00%"
"Aug 17, 2018","79,500.00","79,500.00","83,000.00","76,000.00","-","0.00%"
"Aug 16, 2018","79,500.00","79,500.00","83,000.00","76,000.00","-","0.00%"
"Aug 15, 2018","79,500.00","79,500.00","83,000.00","76,000.00","-","-1.24%"
"Aug 14, 2018","80,500.00","80,500.00","84,000.00","77,000.00","-","-2.42%"
"Aug 13, 2018","82,500.00","82,500.00","86,000.00","79,000.00","-","-1.20%"
"Aug 10, 2018","83,500.00","83,500.00","87,000.00","80,000.00","-","0.00%"
"Aug 09, 2018","83,500.00","83,500.00","87,000.00","80,000.00","-","0.00%"
"Aug 08, 2018","83,500.00","83,500.00","87,000.00","80,000.00","-","0.00%"
