Date,Price,Open,High,Low,Change %
10-Sep-19,"50,000.00","50,000.00","51,500.00","48,500.00",0
9-Sep-19,"50,000.00","50,000.00","51,500.00","48,500.00",0
6-Sep-19,"50,000.00","50,000.00","51,500.00","48,500.00",0
5-Sep-19,"50,000.00","50,000.00","51,500.00","48,500.00",-0.0291
4-Sep-19,"51,500.00","51,500.00","53,000.00","50,000.00",0
3-Sep-19,"51,500.00","51,500.00","53,000.00","50,000.00",-0.0096
2-Sep-19,"52,000.00","52,000.00","53,500.00","50,500.00",0
30-Aug-19,"52,000.00","52,000.00","53,500.00","50,500.00",-0.0189
29-Aug-19,"53,000.00","53,000.00","54,500.00","51,500.00",0
28-Aug-19,"53,000.00","53,000.00","54,500.00","51,500.00",0
27-Aug-19,"53,000.00","53,000.00","54,500.00","51,500.00",-0.0093
26-Aug-19,"53,500.00","53,500.00","55,000.00","52,000.00",-0.0183
23-Aug-19,"54,500.00","54,500.00","56,000.00","53,000.00",-0.018
22-Aug-19,"55,500.00","55,500.00","57,000.00","54,000.00",-0.0177
21-Aug-19,"56,500.00","56,500.00","58,000.00","55,000.00",0
20-Aug-19,"56,500.00","56,500.00","58,000.00","55,000.00",0
19-Aug-19,"56,500.00","56,500.00","58,000.00","55,000.00",-0.0088
16-Aug-19,"57,000.00","57,000.00","58,500.00","55,500.00",0
15-Aug-19,"57,000.00","57,000.00","58,500.00","55,500.00",-0.0172
14-Aug-19,"58,000.00","58,000.00","59,500.00","56,500.00",0
13-Aug-19,"58,000.00","58,000.00","59,500.00","56,500.00",-0.0085
12-Aug-19,"58,500.00","58,500.00","60,000.00","57,000.00",0
9-Aug-19,"58,500.00","58,500.00","60,000.00","57,000.00",0
8-Aug-19,"58,500.00","58,500.00","60,000.00","57,000.00",0
7-Aug-19,"58,500.00","58,500.00","60,000.00","57,000.00",0
6-Aug-19,"58,500.00","58,500.00","60,000.00","57,000.00",-0.0085
5-Aug-19,"59,000.00","59,000.00","60,500.00","57,500.00",-0.0084
2-Aug-19,"59,500.00","59,500.00","61,000.00","58,000.00",-0.0165
1-Aug-19,"60,500.00","60,500.00","62,000.00","59,000.00",0
